,seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,chi,sharp,Jvar,Kvar,Lvar,Kamp,Var_Status
1108,14620,20.507,0.6115,19.620,0.0812,19.478,0.0720,0.906,-3.332, 0.342, 0.962, 0.412,99.999,0
1109,12621,20.446,0.2857,19.758,0.2540,19.640,0.0531,0.952, 0.236, 0.386, 0.921, 0.446,99.999,0
1110, 8812,19.985,0.1111,19.221,0.1820,18.982,0.0362,0.872, 0.561,-0.154, 0.935,-0.180,99.999,0
1111,17187,17.473,0.0684,16.634,0.0474,16.289,0.0164,1.568, 0.819, 1.714, 0.924, 1.985,99.999,0
1112, 1359,18.812,0.0346,17.848,0.0293,17.594,0.0239,1.207, 0.842, 0.988, 0.920, 1.139,99.999,0
1113,15430,20.030,0.0630,19.028,0.0699,19.055,0.0480,1.132, 3.052, 0.173, 0.962, 0.209,99.999,0
1114, 4923,19.699,0.0699,18.602,0.0320,18.451,0.0229,0.907,-0.541, 0.127, 0.973, 0.154,99.999,0
1115,16891,19.380,0.1148,18.702,0.0371,18.444,0.0342,0.858, 0.564, 0.816, 0.965, 0.987,99.999,0
1116, 9289,20.800,0.2063,20.408,0.2282,19.613,0.0947,0.973,-2.797, 1.060, 0.848, 1.126,99.999,0
1117, 4683,20.707,0.1872,19.815,0.4897,19.820,0.0926,0.783, 0.140, 0.525, 0.977, 0.643,99.999,0
1118, 1271,20.320,0.3657,18.877,0.0402,18.749,0.0908,0.841, 1.476, 2.860, 0.901, 3.230,99.999,0
1119, 1893,19.612,0.1220,18.742,0.1574,18.437,0.0252,0.845,-0.065, 0.677, 0.958, 0.813,99.999,0
1120, 1809,20.164,0.1332,19.327,0.1874,18.973,0.0479,0.993, 1.207, 0.767, 0.955, 0.918,99.999,0
1121, 2278,18.791,0.0907,17.612,0.0182,17.437,0.0267,1.122, 1.049, 0.937, 0.966, 1.134,99.999,0
1122, 8691,18.592,0.1224,17.743,0.1191,17.429,0.0309,1.257, 1.556, 1.009, 0.921, 1.165,99.999,0
1123,13205,19.568,0.2395,18.677,0.0332,18.532,0.0450,0.843, 1.204, 1.136, 0.979, 1.395,99.999,0
1124, 2043,20.284,0.1788,18.993,0.0423,19.124,0.0515,0.792,-0.445, 0.915, 0.936, 1.073,99.999,0
1125,11646,20.032,0.2064,19.420,0.3784,19.137,0.0410,0.944, 1.788, 0.531, 0.945, 0.629,99.999,0
1126,17622,18.907,0.2752,18.824,0.0487,18.004,0.0726,0.904,-0.165, 3.562, 0.879, 3.922,99.999,0
1127, 8021,19.187,0.1129,18.560,0.0888,18.251,0.0366,0.869, 0.386,-0.151, 0.932,-0.176,99.999,0
1128,15044,20.616,0.1589,20.225,0.1056,19.169,0.0821,0.814,-1.388, 1.253, 0.926, 1.454,99.999,0
1129,13708,20.254,0.0963,19.233,0.1100,18.909,0.0444,1.385, 4.839,-0.005, 0.950,-0.006,99.999,0
1130,12135,18.719,0.0294,17.853,0.0391,17.398,0.0213,1.717, 1.434, 0.720, 0.964, 0.870,99.999,0
1131,12045,19.863,0.1610,18.862,0.2549,18.611,0.0378,0.952,-0.874, 0.923, 0.953, 1.102,99.999,0
1132,12065,20.521,0.1083,19.101,0.0515,18.787,0.0799,1.009, 3.187, 1.214, 0.942, 1.434,99.999,0
1133, 2136,19.730,0.0342,18.892,0.1114,18.690,0.0284,0.813, 2.112, 0.295, 0.973, 0.360,99.999,0
1134, 1780,19.207,0.0478,18.336,0.0570,18.017,0.0300,1.070, 1.036, 0.947, 0.953, 1.132,99.999,0
1135,13568,20.054,0.2092,19.674,0.1870,19.182,0.0817,0.744,-1.903, 1.341, 0.973, 1.636,99.999,0
1136, 7132,19.330,0.2140,18.375,0.0515,18.482,0.0525,1.206, 1.741, 0.836, 0.962, 1.008,99.999,0
1137,10564,20.987,0.1581,19.672,0.0373,19.580,0.0533,0.804,-0.311,-0.282, 0.898,-0.317,99.999,0
1138,11838,19.845,0.0419,18.763,0.0313,18.503,0.0223,0.734,-0.528, 0.108, 0.960, 0.130,99.999,0
1139,10146,19.276,0.0935,18.692,0.0575,18.548,0.0488,0.938, 0.663, 0.876, 0.936, 1.028,99.999,0
1140,  570,20.038,0.3561,19.185,0.3633,18.767,0.0656,0.856,-0.887, 1.571, 0.918, 1.807,99.999,0
1141,14384,19.446,0.2005,18.611,0.0560,18.454,0.0268,1.021, 2.724, 1.136, 0.954, 1.359,99.999,0
1142,19129,18.821,0.0852,18.140,0.0149,18.047,0.0347,0.887, 0.376, 1.306, 0.986, 1.614,99.999,0
1143,19580,99.999,9.9999,18.686,0.3126,17.330,0.2531,2.620,-1.878, 2.589, 0.986, 3.199,99.999,0
1144, 5582,19.015,0.1384,18.056,0.0609,17.958,0.0371,1.479, 4.446, 0.960, 0.943, 1.135,99.999,0
1145, 3898,20.426,0.2748,19.083,0.1570,18.950,0.0736,0.714,-1.595, 1.772, 0.962, 2.137,99.999,0
1146, 6736,19.889,0.0901,18.840,0.0548,18.674,0.0549,1.162, 4.688, 0.730, 0.983, 0.899,99.999,0
1147,11263,20.039,0.1049,18.999,0.0287,18.835,0.0266,0.784, 0.217, 0.232, 0.945, 0.275,99.999,0
1148,14649,20.093,0.1505,19.657,0.0840,19.220,0.0537,0.807,-1.344, 0.599, 0.952, 0.715,99.999,0
1149, 6367,20.463,0.1042,19.099,0.0597,19.187,0.0773,0.899,-3.206, 0.958, 0.935, 1.122,99.999,0
1150,17891,18.191,0.0152,17.331,0.1045,17.001,0.0202,0.902,-0.069, 1.979, 0.985, 2.443,99.999,0
1151,16606,19.957,0.0923,19.464,0.0668,18.811,0.0660,0.883,-0.022, 1.451, 0.951, 1.729,99.999,0
1152, 6762,19.808,0.1239,18.705,0.0638,18.590,0.0213,1.014,-0.066, 0.127, 0.990, 0.157,99.999,0
1153, 9939,19.866,0.0617,19.271,0.1436,18.969,0.0656,0.847,-0.016, 1.019, 0.937, 1.197,99.999,0
1154,13370,20.118,0.0856,19.258,0.0395,18.941,0.0228,0.738,-1.426, 0.011, 0.988, 0.014,99.999,0
1155,18175,18.501,0.0954,17.630,0.1394,17.316,0.0218,1.545, 1.406, 0.921, 0.993, 1.146,99.999,0
1156,  169,19.699,0.0852,18.451,0.0382,18.564,0.0770,1.313, 0.819, 1.324, 0.933, 1.548,99.999,0
1157, 7718,19.304,0.2035,18.123,0.0357,18.012,0.0378,1.227, 1.932, 1.443, 0.970, 1.754,99.999,0
1158, 4597,19.632,0.0505,18.380,0.0272,18.411,0.0196,0.997,-1.029, 0.428, 0.983, 0.527,99.999,0
1159, 6856,19.868,0.0581,18.803,0.0333,18.671,0.0337,0.876, 0.052, 0.264, 0.949, 0.314,99.999,0
1160, 9485,19.809,0.1025,19.097,0.0337,18.736,0.0427,0.960, 1.654, 0.532, 0.911, 0.607,99.999,0
1161,13679,18.937,0.0702,18.172,0.0719,17.695,0.0177,1.014, 0.122, 1.312, 0.974, 1.602,99.999,0
1162,14367,19.128,0.0643,18.252,0.0357,18.086,0.0256,1.066, 1.516, 0.515, 0.988, 0.638,99.999,0
1163, 9163,19.262,0.0748,18.699,0.1004,18.300,0.0410,0.975, 1.252, 1.433, 0.965, 1.732,99.999,0
1164,  717,20.178,0.3946,19.455,0.0756,19.104,0.0813,1.115, 2.005, 0.841, 0.929, 0.979,99.999,0
1165, 9831,18.002,0.0449,17.228,0.0309,16.973,0.0197,1.673, 1.895, 0.433, 0.957, 0.519,99.999,0
1166,15987,20.250,0.2027,20.090,0.1056,19.264,0.0579,0.739,-2.092, 0.799, 0.962, 0.964,99.999,0
1167, 4689,19.249,0.0373,18.299,0.0256,18.238,0.0221,1.040,-0.066, 0.270, 0.954, 0.323,99.999,0
1168, 4972,18.859,0.2360,18.146,0.0446,18.063,0.0169,0.907, 0.536, 1.002, 0.975, 1.225,99.999,0
1169,13265,20.121,0.2584,19.913,0.1148,19.709,0.0728,0.889,-3.642, 0.482, 0.915, 0.553,99.999,0
1170,12537,18.959,0.0997,18.194,0.0636,17.957,0.0235,0.868, 0.501, 1.184, 0.993, 1.474,99.999,0
1171, 4444,19.002,0.0891,18.123,0.0152,17.855,0.0234,0.751,-0.139, 1.286, 0.950, 1.531,99.999,0
1172, 6738,18.237,0.2033,17.288,0.1423,16.516,0.0249,2.145, 2.714, 2.258, 0.959, 2.714,99.999,0
1173, 1011,19.580,0.0670,18.978,0.2563,18.799,0.0661,0.903,-0.237, 1.175, 0.937, 1.380,99.999,0
