,seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,chi,sharp,Jvar,Kvar,Lvar,Kamp,Var_Status
1,16707,17.963,0.0701,17.133,0.0198,16.686,0.0254,1.333, 0.518, 3.473, 0.942, 4.100, 0.363,1
2,18468,99.999,9.9999,99.999,9.9999,17.990,0.2634,1.535, 1.131, 3.934, 0.920, 4.535, 1.462,1
3,19086,18.975,0.1687,17.968,0.2616,17.945,0.0691,0.788,-0.288, 4.828, 0.955, 5.782, 0.584,1
4, 1189,20.928,0.1792,19.093,0.4665,17.567,0.0725,0.809,-0.965, 5.817, 0.973, 7.094, 0.619,1
5,18133,18.930,0.2629,18.227,0.0489,17.237,0.0903,1.425, 0.847, 4.114, 0.940, 4.845, 0.761,1
6,14752,19.093,0.4470,17.756,0.0204,16.838,0.0900,1.283, 0.592, 9.457, 0.981,11.626, 0.843,1
7,17501,19.338,0.2378,18.295,0.0986,17.138,0.0604,2.060, 2.890, 4.161, 0.915, 4.771, 0.888,1
8, 6905,19.670,0.2009,18.542,0.1256,18.138,0.0911,0.922,-0.189, 3.949, 0.965, 4.778, 0.879,1
9,17762,17.575,0.0871,17.154,0.0587,17.733,0.2356,3.969, 2.248, 3.805, 0.846, 4.035, 2.666,1
10, 5619,19.355,0.2762,18.409,0.0582,18.267,0.0690,0.756,-0.666, 3.489, 0.966, 4.222, 0.715,1
11,17014,18.517,0.1103,17.848,0.1733,17.500,0.0405,1.055, 1.247, 3.334, 0.959, 4.008, 0.430,1
12, 5124,19.197,0.1433,18.214,0.1925,17.593,0.0892,0.924,-1.682, 6.153, 0.966, 7.448, 0.784,1
13, 1138,18.743,0.2053,17.992,0.0193,17.337,0.0703,0.938, 0.457, 5.393, 0.932, 6.299, 0.636,1
14,10054,18.191,0.0522,17.394,0.0291,16.770,0.0511,1.316, 0.841, 5.493, 0.933, 6.426, 0.778,1
15, 8799,18.028,0.1161,17.237,0.0385,17.049,0.0498,1.195, 0.628, 6.818, 0.963, 8.226, 0.659,1
16,17246,19.350,0.0428,18.394,0.0344,17.227,0.0456,0.983,-0.884, 3.832, 0.898, 4.311, 0.526,1
17,18444,18.297,0.1608,17.634,0.0235,17.217,0.0997,1.349, 0.308, 5.640, 0.992, 7.013, 0.708,1
18,19002,99.999,9.9999,99.999,9.9999,17.045,0.1801,1.697, 1.647, 4.972, 0.949, 5.916, 0.678,1
19, 2771,18.407,0.1458,17.311,0.3233,16.751,0.0616,1.261, 1.464, 6.355, 0.962, 7.659, 0.531,1
20, 6215,18.713,0.0212,17.629,0.0192,17.670,0.0761,1.031,-0.363, 4.104, 0.951, 4.893, 0.646,1
21,14003,18.529,0.1351,17.457,0.0580,17.220,0.0359,1.034, 0.559, 3.608, 0.949, 4.293, 0.338,1
22,10314,18.762,0.1988,18.122,0.0800,17.350,0.0514,1.030,-0.470, 6.978, 0.931, 8.138, 0.604,1
23,11748,18.072,0.0682,17.058,0.0300,16.757,0.0345,1.144, 0.234, 3.565, 0.991, 4.426, 0.288,1
24,  575,17.854,0.1320,16.828,0.1957,16.194,0.0324,1.594, 0.655, 3.424, 0.954, 4.093, 0.260,1
25, 9124,17.544,0.2554,17.134,0.0245,16.364,0.0505,1.409, 0.498, 8.170, 0.935, 9.571, 0.657,1
26, 2831,18.445,0.1069,17.474,0.2471,17.179,0.0534,0.952, 0.361, 5.254, 0.976, 6.429, 0.472,1
27, 2172,17.452,0.0835,16.336,0.0602,15.926,0.0363,1.358,-0.305, 4.108, 0.952, 4.899, 0.317,1
28,11666,15.413,0.0522,14.646,0.0854,14.261,0.0347,2.282, 0.017, 6.510, 0.966, 7.885, 0.282,1
29, 4056,18.634,0.2405,17.484,0.3916,17.312,0.0538,0.827,-0.261, 8.193, 0.966, 9.915, 0.563,1
30,11553,15.777,0.0651,14.964,0.0912,14.587,0.0179,2.576, 0.243, 3.488, 0.943, 4.123, 0.159,1
31,18184,18.339,0.4853,17.284,0.6905,16.502,0.0957,1.679,-0.127,11.325, 0.936,13.290, 0.889,1
32, 6970,18.121,0.4120,17.762,0.0194,17.066,0.0546,1.170, 0.351, 6.459, 0.958, 7.758, 0.680,1
33, 2935,18.433,0.0941,17.523,0.2516,17.380,0.0520,1.029, 0.959, 4.446, 0.958, 5.339, 0.500,1
34,16413,18.256,0.1055,17.950,0.1812,17.844,0.0446,0.859,-0.089, 4.115, 0.983, 5.068, 0.411,1
35, 6151,18.277,0.0751,17.188,0.0182,17.220,0.0530,1.186, 0.074, 4.106, 0.960, 4.942, 0.533,1
36,15028,18.331,0.0630,17.729,0.2239,17.112,0.0457,1.309, 0.811, 5.148, 0.952, 6.146, 0.695,1
37,   93,18.725,0.0540,17.639,0.0247,17.483,0.1471,1.713, 1.950, 3.969, 0.904, 4.498, 0.728,1
38, 3819,18.357,0.1140,17.213,0.1669,16.813,0.0248,1.077, 0.250, 3.362, 0.982, 4.137, 0.352,1
39, 8876,18.738,0.1286,17.476,0.1037,17.268,0.0436,1.074,-0.039, 4.307, 0.970, 5.237, 0.586,1
40,17501,19.338,0.2378,18.295,0.0986,17.138,0.0604,2.060, 2.890, 4.161, 0.915, 4.771, 0.888,1
41,17393,18.818,0.0209,18.042,0.0285,17.507,0.0633,0.940, 0.287, 3.935, 0.980, 4.834, 0.585,1
42, 8625,16.903,0.1017,15.623,0.0156,15.250,0.0518,2.906, 0.417, 6.431, 0.901, 7.266, 0.696,1
43, 8411,19.332,0.0470,18.460,0.0477,17.307,0.0660,1.497, 1.551, 6.226, 0.929, 7.250, 1.228,1
44, 9262,17.844,0.0596,17.067,0.0742,16.504,0.0364,2.074, 1.481, 4.877, 0.892, 5.453, 0.749,1
45,12068,18.177,0.1427,17.346,0.0262,16.882,0.0799,1.126, 0.293, 8.683, 0.950,10.340, 0.763,1
46, 8968,18.340,0.0600,17.419,0.1612,17.001,0.0476,1.215, 0.318, 5.119, 0.956, 6.135, 0.738,1
47,17092,18.508,0.2177,17.648,0.2338,17.166,0.0338,1.134, 0.405, 3.807, 0.929, 4.434, 0.305,1
48,19547,18.406,0.0945,17.864,0.0849,17.104,0.0312,1.152, 0.578, 3.735, 0.937, 4.387, 0.419,1
49, 1417,20.389,0.2982,18.641,0.0448,18.512,0.1529,1.257,-0.253, 3.832, 0.886, 4.257, 1.685,1
50,  764,21.188,0.2854,19.592,0.0716,18.843,0.1472,0.793,-1.431, 4.840, 0.867, 5.259, 1.905,1
51, 4704,19.191,0.0617,17.988,0.1444,17.783,0.0583,0.783,-1.114, 3.566, 0.973, 4.348, 0.551,1
52, 7015,18.624,0.1249,17.801,0.0673,17.224,0.0419,1.124, 0.491, 4.951, 0.954, 5.923, 0.642,1
53,15291,18.225,0.1890,17.265,0.1516,17.199,0.0846,0.964, 0.473, 8.192, 0.966, 9.915, 0.650,1
54, 6810,18.342,0.1963,17.259,0.0161,16.866,0.0600,1.079, 0.534, 5.683, 0.947, 6.743, 0.544,1
55, 5012,18.663,0.7548,17.953,0.0229,16.751,0.0643,1.045,-0.250, 9.973, 0.933,11.656, 0.848,1
56,17702,18.349,0.2594,18.125,0.2817,17.337,0.1344,1.161, 0.566,10.675, 0.938,12.546, 1.109,1
57, 2835,18.583,0.1049,17.810,0.2115,17.390,0.0710,1.036, 0.263, 3.745, 0.938, 4.402, 0.663,1
58,  898,18.494,0.0172,17.358,0.1617,16.706,0.0442,0.960,-0.420, 4.606, 0.959, 5.537, 0.433,1
59, 9124,17.544,0.2554,17.134,0.0245,16.364,0.0505,1.409, 0.498, 8.170, 0.935, 9.571, 0.657,1
60, 7416,17.858,0.6097,16.266,0.0095,16.048,0.0842,1.527, 0.175,14.242, 0.931,16.619, 0.978,1
61, 1485,18.988,0.2034,18.206,0.2259,17.758,0.0993,0.977, 1.048, 4.994, 0.917, 5.737, 0.960,1
62,12138,18.847,0.1491,17.756,0.0554,17.608,0.0390,0.817,-0.057, 3.280, 0.989, 4.066, 0.331,1
63, 1004,18.879,0.1929,18.177,0.2237,17.722,0.0639,0.959, 0.197, 3.744, 0.923, 4.331, 1.065,1
64, 7717,19.038,0.0940,17.986,0.0241,17.660,0.0724,1.089,-0.737, 3.735, 0.970, 4.540, 0.702,1
65, 9718,18.083,0.1062,17.453,0.1471,16.837,0.0364,1.285, 0.538, 4.384, 0.888, 4.881, 0.520,1
66, 7471,20.123,0.1611,18.543,0.0493,17.333,0.1104,1.153, 0.937, 6.023, 0.942, 7.111, 1.124,1
67,17687,16.939,0.2728,16.681,0.0503,15.496,0.0799,3.444, 0.193, 7.543, 0.959, 9.064, 0.664,1
68,14523,18.339,0.1481,17.507,0.0828,17.278,0.0308,0.918,-0.018, 4.007, 0.986, 4.950, 0.261,1
69, 7027,17.040,0.2261,17.227,0.2484,17.102,0.0901,1.011,-0.069,11.487, 0.975,14.040, 0.807,1
70, 2808,18.865,0.4140,18.113,0.0233,17.527,0.0911,0.949,-0.337, 7.427, 0.931, 8.664, 0.806,1
71, 9824,20.885,0.1539,20.357,0.2510,18.783,0.1126,0.938, 0.643, 4.053, 0.839, 4.262, 1.400,1
72,10628,20.531,0.5209,19.112,0.1582,17.411,0.0849,1.115, 0.449, 6.696, 0.884, 7.418, 1.005,1
73, 4297,19.936,0.1475,19.006,0.0758,17.632,0.1171,1.089, 1.833, 5.600, 0.964, 6.764, 1.057,1
74,  927,18.636,0.2652,17.555,0.0309,16.922,0.0822,1.723, 2.358, 5.039, 0.923, 5.827, 0.893,1
75,10875,18.317,0.1715,17.502,0.4485,17.089,0.0428,1.143, 0.067, 7.800, 0.882, 8.620, 0.852,1
76, 3394,18.854,0.1669,18.012,0.1715,17.284,0.0600,0.889, 0.265, 4.910, 0.947, 5.829, 0.531,1
77,11207,18.820,0.5308,18.237,0.1876,17.079,0.0660,0.879,-0.049, 9.693, 0.989,12.012, 0.541,1
78,18031,17.236,0.1148,16.495,0.2572,16.079,0.0460,2.235, 0.935, 4.199, 0.881, 4.639, 0.347,1
79, 9292,18.640,0.1264,17.989,0.1430,17.544,0.0348,1.147, 0.240, 3.972, 0.925, 4.603, 0.686,1
80,13026,16.439,0.0593,15.588,0.0081,15.380,0.0278,2.429, 0.027, 3.451, 0.963, 4.166, 0.240,1
81, 7294,17.969,0.0836,16.992,0.0165,16.713,0.0433,1.384, 0.284, 3.573, 0.940, 4.210, 0.335,1
82,11500,18.592,0.3003,17.193,0.3272,16.422,0.0254,1.122, 0.387, 6.205, 0.947, 7.368, 0.390,1
83,11385,19.626,0.0995,18.635,0.0502,17.460,0.0693,1.316, 0.215, 4.504, 0.906, 5.116, 0.670,1
84,14230,18.813,0.2500,18.383,0.0294,17.723,0.0440,0.850,-0.196, 4.209, 0.979, 5.165, 0.403,1
85,13076,18.402,0.1353,17.362,0.0366,17.107,0.0351,0.844,-0.298, 3.990, 0.988, 4.939, 0.279,1
86,10343,18.357,0.0572,17.153,0.0275,16.919,0.0485,1.661, 1.525, 3.876, 0.922, 4.480, 0.645,1
87,12397,18.807,0.1437,17.905,0.2940,17.576,0.0603,1.122,-0.091, 4.791, 0.913, 5.485, 0.649,1
88, 5561,18.075,0.4150,17.448,0.0156,16.942,0.0543,1.013,-0.200, 6.230, 0.916, 7.153, 0.823,1
89,14729,18.022,0.1344,17.024,0.0110,16.759,0.0298,1.209, 0.338, 3.725, 0.961, 4.487, 0.320,1
90,15267,18.911,0.2429,18.291,0.1847,17.910,0.1145,0.900,-0.853, 7.086, 0.961, 8.532, 0.993,1
91,18011,18.176,0.1226,17.474,0.2065,17.043,0.0396,1.238, 0.249, 3.616, 0.977, 4.430, 0.341,1
92, 4262,18.255,0.2265,17.248,0.5288,16.950,0.0664,0.937, 0.016,10.616, 0.953,12.686, 0.521,1
93, 1000,18.744,0.1590,18.014,0.2823,17.338,0.0587,0.840, 0.164, 5.759, 0.979, 7.069, 0.552,1
94, 1159,18.915,0.5333,17.188,0.0139,16.575,0.0751,1.171, 0.671, 8.050, 0.907, 9.148, 0.794,1
95, 4442,20.029,0.0952,18.777,0.0385,16.845,0.0638,0.977,-0.080, 8.805, 0.937,10.339, 0.755,1
96,15440,19.114,0.2206,18.478,0.0642,18.228,0.0632,0.803, 0.591, 3.800, 0.980, 4.667, 0.618,1
97,10628,20.531,0.5209,19.112,0.1582,17.411,0.0849,1.115, 0.449, 6.696, 0.884, 7.418, 1.005,1
98,10489,18.147,0.0853,17.471,0.0873,17.059,0.0326,1.302, 0.160, 4.137, 0.902, 4.679, 0.646,1
99, 9685,17.444,0.0790,17.133,0.2851,16.627,0.0588,1.515, 0.544, 6.456, 0.874, 7.072, 0.863,1
100,17864,19.223,0.2398,18.564,0.3042,18.249,0.0611,0.852,-0.768, 3.620, 0.957, 4.340, 0.499,1
101,11353,18.919,0.0264,17.555,0.0175,16.440,0.0668,1.235, 0.378, 7.866, 0.963, 9.496, 0.592,1
102,13558,17.980,0.4991,16.370,0.0101,15.725,0.0627,2.024, 0.284,11.302, 0.972,13.764, 0.632,1
103,11212,18.270,0.0793,17.437,0.0181,16.994,0.0710,0.961, 0.459, 9.714, 0.956,11.643, 0.800,1
104,15208,18.003,0.1701,16.986,0.1410,16.556,0.0430,1.125, 0.426,10.078, 0.953,12.039, 0.682,1
105,17036,14.508,0.1731,13.874,0.1936,13.833,0.0850,2.852, 0.067,17.261, 0.971,21.009, 0.554,1
106, 8427,18.524,0.0775,18.123,0.1117,17.490,0.0603,1.398, 2.038, 3.621, 0.964, 4.373, 0.746,1
107, 9712,21.238,0.3172,20.565,0.1584,17.829,0.1025,0.904,-1.034, 9.230, 0.876,10.139, 1.372,1
108,16263,18.779,0.1960,18.086,0.0241,17.505,0.0655,0.929, 0.337, 5.426, 0.973, 6.617, 0.647,1
109, 2104,19.441,0.2853,18.273,0.0253,18.212,0.0692,0.863, 0.667, 3.471, 0.943, 4.103, 0.605,1
110,13073,18.539,0.1428,17.545,0.0163,17.387,0.0621,0.944,-0.701, 5.245, 0.965, 6.343, 0.525,1
111, 7558,19.208,0.5535,18.610,0.0377,17.858,0.1109,0.961,-0.973, 7.797, 0.922, 9.006, 1.002,1
112,12397,18.807,0.1437,17.905,0.2940,17.576,0.0603,1.122,-0.091, 4.791, 0.913, 5.485, 0.649,1
113, 9124,17.544,0.2554,17.134,0.0245,16.364,0.0505,1.409, 0.498, 8.170, 0.935, 9.571, 0.657,1
114,10387,18.351,0.1295,17.866,0.2394,17.177,0.0623,1.080,-0.188, 8.945, 0.910,10.201, 0.818,1
115, 5012,18.663,0.7548,17.953,0.0229,16.751,0.0643,1.045,-0.250, 9.973, 0.933,11.656, 0.848,1
116,15925,19.535,0.2906,18.111,0.0315,17.298,0.1057,1.091, 1.265, 9.168, 0.969,11.136, 0.957,1
117, 3394,18.854,0.1669,18.012,0.1715,17.284,0.0600,0.889, 0.265, 4.910, 0.947, 5.829, 0.531,1
118,18082,18.535,0.3485,17.796,0.6033,17.306,0.0994,0.985,-0.293,12.348, 0.941,14.558, 0.787,1
119,16623,18.336,0.1382,17.681,0.0616,17.138,0.0549,0.929, 0.592, 6.354, 0.963, 7.669, 0.456,1
120, 1364,18.745,0.2436,17.984,0.2333,17.665,0.0748,1.135, 1.110, 6.344, 0.937, 7.452, 0.975,1
121, 1370,18.745,0.3414,18.063,0.0295,17.714,0.0895,1.241, 1.024, 4.754, 0.946, 5.638, 0.759,1
122, 4665,18.302,0.1847,17.247,0.3643,16.400,0.0759,1.310, 0.836, 8.866, 0.950,10.560, 0.698,1
123, 2102,18.686,0.1041,17.805,0.2534,17.600,0.0587,0.965, 1.274, 4.416, 0.976, 5.403, 0.510,1
124, 4074,21.028,0.2956,19.650,0.0620,18.310,0.1658,0.856, 0.893, 5.122, 0.950, 6.096, 1.292,1
125, 8977,18.516,0.1371,17.308,0.2326,16.526,0.0467,1.715, 0.717, 4.506, 0.902, 5.093, 0.669,1
126, 8658,17.733,0.0744,17.346,0.1155,16.704,0.0309,1.514, 0.875, 4.109, 0.911, 4.692, 0.751,1
127, 3748,20.142,0.0978,18.289,0.0669,16.725,0.0539,1.540, 1.112, 4.415, 0.959, 5.306, 0.851,1
128,12574,18.884,0.3929,17.484,0.5140,16.728,0.0873,1.116,-0.337,12.869, 0.963,15.527, 0.724,1
129,  901,18.194,0.1328,17.100,0.0255,16.980,0.0569,1.559, 1.124, 4.485, 0.951, 5.343, 0.493,1
130,   93,18.725,0.0540,17.639,0.0247,17.483,0.1471,1.713, 1.950, 3.969, 0.904, 4.498, 0.728,1
131,15440,19.114,0.2206,18.478,0.0642,18.228,0.0632,0.803, 0.591, 3.800, 0.980, 4.667, 0.618,1
132,10625,19.844,0.2759,18.191,0.0188,17.458,0.0732,1.047,-0.064, 5.538, 0.895, 6.214, 0.852,1
133,10619,18.769,0.0675,17.782,0.1147,17.025,0.0477,1.283, 0.338, 5.406, 0.905, 6.135, 0.882,1
134,13666,17.880,0.0657,16.938,0.0090,16.862,0.0791,1.067, 0.087, 8.379, 0.977,10.255, 0.703,1
135,16984,18.767,0.2247,17.849,0.4998,17.609,0.0908,0.939, 0.353, 8.989, 0.979,11.026, 0.711,1
136,11136,17.974,0.1161,16.844,0.0860,16.310,0.0357,1.101, 0.162, 5.649, 0.981, 6.946, 0.307,1
137,  243,19.131,0.1591,18.198,0.0343,17.680,0.0932,1.361, 1.437, 4.174, 0.906, 4.740, 0.830,1
138,10625,19.844,0.2759,18.191,0.0188,17.458,0.0732,1.047,-0.064, 5.538, 0.895, 6.214, 0.852,1
139,13093,22.307,0.5125,19.330,0.0425,16.955,0.1195,0.967,-0.767,14.148, 0.984,17.453, 1.048,1
140,11739,18.288,0.1182,17.146,0.1226,16.137,0.0305,1.407, 0.213, 6.063, 0.938, 7.130, 0.413,1
141,11978,17.932,0.1430,17.200,0.0831,16.521,0.0238,1.332, 0.234, 3.495, 0.940, 4.119, 0.278,1
142, 8590,18.482,0.0937,17.735,0.1275,17.417,0.0303,0.903, 0.009, 3.839, 0.965, 4.642, 0.462,1
143, 1590,17.145,0.2516,16.218,0.0374,15.860,0.0480,1.930, 0.320, 5.902, 0.928, 6.865, 0.471,1
144, 8799,18.028,0.1161,17.237,0.0385,17.049,0.0498,1.195, 0.628, 6.818, 0.963, 8.226, 0.659,1
145,12407,18.457,0.1275,17.143,0.0749,16.448,0.0274,1.386, 0.361, 3.676, 0.984, 4.533, 0.240,1
146, 8590,18.482,0.0937,17.735,0.1275,17.417,0.0303,0.903, 0.009, 3.839, 0.965, 4.642, 0.462,1
147, 7066,18.285,0.1432,17.602,0.3527,17.119,0.0501,1.024, 0.359, 6.242, 0.979, 7.656, 0.485,1
148, 5674,18.712,0.1342,17.608,0.1024,16.819,0.0362,1.174, 0.670, 3.838, 0.978, 4.705, 0.339,1
149,15278,17.460,0.4757,16.336,0.0116,16.193,0.0779,1.449,-0.091,14.926, 0.925,17.309, 0.899,1
150, 1189,20.928,0.1792,19.093,0.4665,17.567,0.0725,0.809,-0.965, 5.817, 0.973, 7.094, 0.619,1
151, 4364,18.289,0.1011,17.350,0.0323,17.088,0.0882,1.097,-0.410, 5.082, 0.912, 5.809, 0.731,1
152,13259,18.527,0.1169,17.312,0.0534,17.043,0.0432,0.921,-0.156, 4.906, 0.987, 6.066, 0.392,1
153,   97,18.863,0.1119,18.143,0.0441,17.280,0.2506,1.726, 2.403, 5.205, 0.927, 6.050, 0.961,1
154, 1370,18.745,0.3414,18.063,0.0295,17.714,0.0895,1.241, 1.024, 4.754, 0.946, 5.638, 0.759,1
155,15975,18.673,0.2063,17.638,0.2649,16.821,0.0320,0.946, 0.288, 5.349, 0.939, 6.297, 0.274,1
156,10165,18.357,0.0556,17.669,0.0630,16.893,0.0282,1.403, 0.887, 3.525, 0.921, 4.071, 0.605,1
157, 6215,18.713,0.0212,17.629,0.0192,17.670,0.0761,1.031,-0.363, 4.104, 0.951, 4.893, 0.646,1
158, 9575,18.746,0.1029,17.962,0.0525,17.232,0.0451,1.479, 1.188, 3.856, 0.940, 4.542, 0.610,1
159,15452,18.646,0.1439,17.864,0.0652,17.383,0.0296,0.830, 0.065, 4.354, 0.985, 5.377, 0.478,1
160, 3938,18.924,0.1953,17.980,0.4100,17.301,0.0724,1.144, 0.437, 5.861, 0.986, 7.246, 0.641,1
161, 5930,18.640,0.3209,17.552,0.0162,17.533,0.0870,1.065, 0.487, 6.916, 0.947, 8.208, 0.744,1
162,14102,17.674,0.0703,16.708,0.0099,16.417,0.0266,1.163,-0.495, 3.627, 0.934, 4.246, 0.289,1
163,12574,18.884,0.3929,17.484,0.5140,16.728,0.0873,1.116,-0.337,12.869, 0.963,15.527, 0.724,1
164,11506,17.802,0.0911,16.813,0.0120,16.465,0.0319,1.212, 0.227, 3.569, 0.944, 4.224, 0.292,1
165,14112,18.423,0.3065,17.388,0.1369,17.413,0.0281,1.171, 1.243, 5.369, 0.930, 6.257, 0.590,1
166, 7468,18.399,0.0609,17.230,0.0242,16.992,0.0564,1.507, 0.624, 3.520, 0.951, 4.195, 0.554,1
167, 7473,18.963,0.2097,17.617,0.0311,17.306,0.0870,1.559, 1.511, 4.628, 0.978, 5.671, 0.672,1
168,15674,15.485,0.0819,14.800,0.0097,14.408,0.0304,3.787,-0.230, 3.826, 0.974, 4.671, 0.246,1
169,16876,18.679,0.2452,17.937,0.3480,17.676,0.0561,0.811,-0.629, 6.420, 0.970, 7.807, 0.484,1
170,13918,18.517,0.0617,17.756,0.0971,16.883,0.0469,1.061, 0.226, 8.062, 0.955, 9.648, 0.757,1
171, 6384,19.006,0.3740,18.003,0.2586,17.724,0.0445,0.908,-1.049, 4.748, 0.979, 5.826, 0.568,1
172, 1301,19.381,0.2516,17.633,0.0289,16.990,0.0935,1.421, 1.030, 6.240, 0.943, 7.378, 0.927,1
173,15674,15.485,0.0819,14.800,0.0097,14.408,0.0304,3.787,-0.230, 3.826, 0.974, 4.671, 0.246,1
174,11876,17.700,0.0735,16.649,0.0170,16.355,0.0312,1.808, 1.219, 3.401, 0.961, 4.097, 0.398,1
175,10083,18.156,0.1326,17.052,0.1337,16.788,0.0323,0.973,-0.181, 5.975, 0.912, 6.826, 0.520,1
176, 6557,20.275,0.5897,18.134,0.0321,17.116,0.0936,1.166, 0.563, 7.018, 0.954, 8.395, 0.822,1
177, 1417,20.389,0.2982,18.641,0.0448,18.512,0.1529,1.257,-0.253, 3.832, 0.886, 4.257, 1.685,1
178, 8035,15.420,0.2261,14.599,0.1026,14.069,0.0350,3.210, 0.119, 7.322, 0.922, 8.459, 0.408,1
179, 3419,18.144,0.1277,16.917,0.2617,16.154,0.0543,1.476, 0.728, 6.371, 0.953, 7.608, 0.549,1
180,15910,18.647,0.1317,18.008,0.1000,17.294,0.0435,1.081, 0.020, 5.599, 0.937, 6.575, 0.660,1
181, 2589,17.330,0.1116,16.258,0.0738,15.762,0.0174,1.132, 0.150, 3.652, 0.938, 4.294, 0.224,1
182,12677,18.464,0.1577,17.557,0.0163,17.640,0.0580,0.984,-0.433, 5.570, 0.956, 6.676, 0.687,1
183, 1959,18.718,0.1036,17.747,0.2629,17.344,0.0457,0.899, 0.770, 3.981, 0.960, 4.789, 0.383,1
184,15267,18.911,0.2429,18.291,0.1847,17.910,0.1145,0.900,-0.853, 7.086, 0.961, 8.532, 0.993,1
185,14397,18.232,0.2405,17.255,0.1355,17.014,0.0681,0.840, 0.352,10.729, 0.983,13.219, 0.647,1
186,12407,18.457,0.1275,17.143,0.0749,16.448,0.0274,1.386, 0.361, 3.676, 0.984, 4.533, 0.240,1
187,  782,18.157,0.2314,17.427,0.0212,17.018,0.0658,1.172, 0.951, 5.075, 0.915, 5.817, 0.523,1
188, 3065,18.811,0.3391,18.101,0.1962,17.675,0.0736,1.069, 0.603, 4.855, 0.934, 5.684, 0.684,1
189,16274,18.469,0.1700,17.960,0.0241,17.453,0.0506,1.035, 1.060, 3.982, 0.973, 4.857, 0.414,1
190,17824,18.560,0.1676,17.869,0.2666,17.425,0.0512,1.167, 1.175, 4.202, 0.957, 5.041, 0.463,1
191, 8968,18.340,0.0600,17.419,0.1612,17.001,0.0476,1.215, 0.318, 5.119, 0.956, 6.135, 0.738,1
192, 7354,18.860,0.0289,17.895,0.0206,17.354,0.0476,0.978,-0.289, 4.161, 0.923, 4.812, 0.612,1
193, 8959,18.477,0.1184,17.654,0.1244,16.998,0.0344,1.665, 0.696, 3.451, 0.940, 4.064, 0.734,1
194,13316,15.843,0.0754,15.060,0.0092,14.782,0.0378,3.278,-0.082, 3.428, 0.949, 4.077, 0.320,1
195,16858,18.049,0.1188,17.273,0.2352,16.786,0.0325,1.193, 1.168, 4.123, 0.927, 4.790, 0.292,1
196,12116,19.187,0.1654,17.997,0.1223,17.501,0.0351,0.800,-0.420, 3.285, 0.973, 4.006, 0.299,1
197,11164,19.051,0.4780,18.573,0.0288,17.569,0.0595,0.817,-0.029, 6.605, 0.941, 7.788, 0.600,1
198, 9721,18.481,0.0576,17.936,0.0746,17.190,0.0491,1.226, 1.139, 3.605, 0.942, 4.258, 0.622,1
199,10083,18.156,0.1326,17.052,0.1337,16.788,0.0323,0.973,-0.181, 5.975, 0.912, 6.826, 0.520,1
200, 8755,18.691,0.1731,17.919,0.1237,17.357,0.0351,1.036,-0.579, 3.791, 0.921, 4.375, 0.512,1
201,10628,20.531,0.5209,19.112,0.1582,17.411,0.0849,1.115, 0.449, 6.696, 0.884, 7.418, 1.005,1
202,11174,18.308,0.1273,17.245,0.0206,16.919,0.0390,1.479, 0.936, 3.364, 0.976, 4.116, 0.376,1
203, 6184,20.091,0.1376,18.992,0.0809,17.929,0.1020,1.011, 1.432, 4.268, 0.953, 5.097, 0.902,1
204,15208,18.003,0.1701,16.986,0.1410,16.556,0.0430,1.125, 0.426,10.078, 0.953,12.039, 0.682,1
205, 4376,18.882,0.4563,17.581,0.0209,17.334,0.0672,1.131,-0.392, 6.188, 0.975, 7.562, 0.747,1
206,16413,18.256,0.1055,17.950,0.1812,17.844,0.0446,0.859,-0.089, 4.115, 0.983, 5.068, 0.411,1
207, 9766,18.521,0.0706,17.793,0.0818,17.104,0.0246,1.188, 0.478, 3.531, 0.962, 4.256, 0.366,1
208,18238,18.283,0.1228,17.934,0.1785,17.234,0.1068,1.639, 0.694, 5.087, 0.921, 5.874, 0.806,1
209,13882,20.074,0.5673,18.171,0.0303,17.090,0.1082,1.015, 0.150,11.279, 0.973,13.750, 1.004,1
210, 7015,18.624,0.1249,17.801,0.0673,17.224,0.0419,1.124, 0.491, 4.951, 0.954, 5.923, 0.642,1
211, 9715,18.580,0.2400,17.397,0.0541,16.321,0.0442,1.855, 0.804, 6.103, 0.920, 7.040, 0.591,1
212,19157,18.902,0.0825,18.230,0.2692,18.027,0.1038,0.983,-0.521, 5.431, 0.967, 6.582, 0.950,1
213,11876,17.700,0.0735,16.649,0.0170,16.355,0.0312,1.808, 1.219, 3.401, 0.961, 4.097, 0.398,1
214,19528,17.727,0.1694,16.481,0.0339,17.156,0.1513,2.940, 0.340, 5.233, 0.899, 5.899, 1.281,1
215, 9658,18.747,0.2582,17.897,0.0986,17.167,0.0450,1.420, 1.563, 4.741, 0.936, 5.560, 0.681,1
216,10875,18.317,0.1715,17.502,0.4485,17.089,0.0428,1.143, 0.067, 7.800, 0.882, 8.620, 0.852,1
217,16263,18.779,0.1960,18.086,0.0241,17.505,0.0655,0.929, 0.337, 5.426, 0.973, 6.617, 0.647,1
218,17954,18.749,0.1703,17.790,0.1826,16.576,0.0434,1.873, 0.759, 4.212, 0.926, 4.890, 0.555,1
219,15629,18.439,0.1418,17.652,0.1715,17.303,0.0286,0.850,-0.283, 3.565, 0.984, 4.399, 0.235,1
220, 9998,18.082,0.0829,17.239,0.1661,16.906,0.0270,1.455, 1.231, 3.954, 0.974, 4.827, 0.353,1
